,PLAYER,Pos,GP,G,A,PTS,PS,EV,PPG,SHG,GW,EVA,PPA,SHA,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,CAP HIT,exchange cap
184,R.J. Umberger,LW,74,18,16,34,3.7,9,8,1,3,11,4,1,136,13.2,1197,16:11,36.0,113,25.0,15.0,62.5,4600000,5228421.0
185,Slava Voynov,D,82,4,30,34,7.2,3,1,0,0,18,12,0,143,2.8,1829,22:18,69.0,165,1.0,0.0,100.0,4166666,4672433.0
186,Christian Ehrhoff,D,79,6,27,33,5.4,4,1,1,2,14,11,2,161,3.7,1889,23:55,119.0,49,0.0,0.0,,4000000,4458592.0
187,Cody Franson,D,79,5,28,33,3.7,4,1,0,0,11,17,0,115,4.3,1635,20:42,111.0,282,0.0,0.0,,2000000,1892496.0
188,Jason Garrison,D,81,7,26,33,6.3,2,4,1,1,13,11,2,181,3.9,1693,20:54,128.0,58,0.0,0.0,,4600000,5228421.0
189,Carl Hagelin,LW,72,17,16,33,4.3,16,0,1,5,16,0,0,144,11.8,1117,15:31,33.0,64,0.0,5.0,0.0,2250000,2213258.0
190,Jack Johnson,D,82,5,28,33,5.7,1,4,0,0,14,14,0,147,3.4,2024,24:41,127.0,180,0.0,1.0,0.0,4357143,4916824.0
191,Justin Schultz,D,74,11,22,33,4.9,10,1,0,3,11,11,0,109,10.1,1728,23:21,107.0,30,0.0,1.0,0.0,925000,513219.0
192,Vladimír Sobotka,C,61,9,24,33,3.6,8,1,0,1,17,6,1,102,8.8,1021,16:45,28.0,110,503.0,310.0,61.9,1300000,994362.0
193,Matt Stajan,C,63,14,19,33,2.9,13,0,1,2,16,1,2,70,20.0,1158,18:22,36.0,74,527.0,569.0,48.1,3500000,3817068.0
194,Colin Wilson,C,81,11,22,33,2.8,9,2,0,3,19,3,0,112,9.8,1233,15:13,35.0,49,166.0,177.0,48.4,2000000,1892496.0
195,Mika Zibanejad,C,69,16,17,33,3.0,13,3,0,0,12,5,0,153,10.5,989,14:20,28.0,118,183.0,214.0,46.1,894167,473659.0
196,Patrik Berglund,C,78,14,18,32,3.5,12,2,0,2,16,2,0,144,9.7,1261,16:10,30.0,88,373.0,410.0,47.6,3250000,3496306.0
197,Justin Faulk,D,76,5,27,32,5.4,3,2,0,1,20,6,1,152,3.3,1779,23:25,102.0,94,0.0,0.0,,840000,404160.0
198,Ryan Garbutt,LW,75,17,15,32,4.2,15,0,2,1,15,0,0,165,10.3,980,13:04,47.0,141,4.0,6.0,40.0,575000,64152.0
199,Andy Greene,D,82,8,24,32,7.7,5,3,0,3,12,10,2,134,6.0,2015,24:35,129.0,87,0.0,0.0,,3000000,3175544.0
200,John Mitchell,C,75,11,21,32,2.9,8,3,0,2,20,0,1,107,10.3,1220,16:16,51.0,112,374.0,374.0,50.0,1100000,737752.0
201,Nick Spaling,LW,71,13,19,32,3.2,9,3,1,1,16,3,0,85,15.3,1137,16:01,32.0,42,88.0,79.0,52.7,1500000,1250972.0
202,Ray Whitney,LW,69,9,23,32,2.6,6,3,0,0,11,12,0,124,7.3,963,13:58,16.0,14,1.0,1.0,50.0,4500000,5100116.0
203,Eric Fehr,RW,73,13,18,31,3.1,13,0,0,2,16,1,1,137,9.5,1077,14:45,33.0,81,196.0,230.0,46.0,1500000,1250972.0
204,Alex Galchenyuk,C,65,13,18,31,3.0,10,3,0,2,11,7,0,110,11.8,936,14:24,25.0,49,5.0,10.0,33.3,925000,513219.0
205,Jake Gardiner,D,80,10,21,31,5.6,7,2,1,1,12,9,0,136,7.4,1686,21:05,87.0,108,0.0,0.0,,875000,449066.0
206,Nathan Gerbe,C,81,16,15,31,3.1,11,3,2,1,11,4,0,221,7.2,1329,16:24,15.0,53,2.0,4.0,33.3,550000,32076.0
