Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,-9999
346,Matt D'Agostini,22,MTL,RW,53,12,9,21,-17,16,1.6,9,3,0,1,7,2,0,116,10.3,711,13:25,26,48,3,6,33.3,dagosma01
347,Nigel Dawes,23,TOT,LW,64,10,11,21,-6,15,1.7,7,3,0,4,10,1,0,115,8.7,848,13:15,25,84,0,0,,dawesni01
348,Jannik Hansen,22,VAN,RW,55,6,15,21,5,37,1.7,6,0,0,1,14,0,1,64,9.4,688,12:31,20,25,2,10,16.7,hanseja01
349,Jan Hejda,30,CBJ,D,82,3,18,21,23,38,6.1,3,0,0,1,17,0,1,66,4.5,1835,22:23,157,168,0,1,0.0,hejdaja01
350,T.J. Hensick,23,COL,C,61,4,17,21,-7,14,1.2,3,1,0,0,12,5,0,116,3.4,787,12:54,22,14,241,269,47.3,hensitj01
351,Barret Jackman,27,STL,D,82,4,17,21,-17,86,3.8,2,1,1,0,15,1,1,89,4.5,1922,23:26,145,124,0,0,,jackmba01
352,Enver Lisin,22,PHX,RW,48,13,8,21,-13,24,1.9,12,1,0,2,7,1,0,105,12.4,712,14:50,14,56,2,4,33.3,lisinen01
353,Paul Mara,29,NYR,D,76,5,16,21,2,94,5.2,4,1,0,0,5,10,1,102,4.9,1441,18:58,86,123,1,1,50.0,marapa01
354,Steve Montador,29,TOT,D,78,4,17,21,17,143,5.0,4,0,0,0,16,1,0,117,3.4,1260,16:10,60,95,0,1,0.0,montast01
355,Rob Niedermayer,34,ANA,C,79,14,7,21,-17,42,0.7,12,1,1,2,7,0,0,88,15.9,1230,15:34,42,64,26,42,38.2,niedero01
356,Kris Russell,21,CBJ,D,66,2,19,21,-10,28,2.6,1,1,0,1,9,10,0,86,2.3,1064,16:07,62,50,0,0,,russekr01
